'	O	PUNCT
Puedo	O	ADJ
asegurar	O	VERB
que	O	SCONJ
no	O	ADV
le	O	PRON
vamos	O	VERB
a	O	ADP
permitir	O	VERB
jurar	O	VERB
el	O	DET
cargo	O	NOUN
.	O	PUNCT
En	O	ADP
1945	O	NOUN
apareció	O	VERB
como	O	SCONJ
bailarina	O	NOUN
en	O	ADP
la	O	DET
película	O	NOUN
musical	O	ADJ
The	O	PROPN
Blonde	O	PROPN
From	O	PROPN
Brooklyn	O	PROPN
.	O	PUNCT
-	O	PUNCT
-	O	PUNCT
Ya	O	ADV
sé	O	VERB
ya	O	ADV
sé	O	VERB
.	O	PUNCT
Éste	O	PRON
es	O	AUX
el	O	DET
enfoque	B-METAPHOR	NOUN
que	O	SCONJ
ha	O	AUX
defendido	B-METAPHOR	ADJ
desde	O	ADP
un	O	DET
principio	O	NOUN
mi	O	DET
Gobierno	O	PROPN
y	O	CCONJ
que	O	SCONJ
hoy	O	ADV
es	O	AUX
generalmente	O	ADV
compartido	O	ADJ
por	O	ADP
los	O	DET
países	O	NOUN
que	O	SCONJ
componen	O	VERB
la	O	DET
misión	O	NOUN
.	O	PUNCT
José	O	PROPN
María	O	PROPN
Vázquez	O	PROPN
Quintana	O	PROPN
explicó	O	VERB
posteriormente	O	ADV
a	O	ADP
un	O	DET
grupo	O	NOUN
de	O	ADP
periodistas	O	NOUN
que	O	SCONJ
la	O	DET
competencia	O	NOUN
en	O	ADP
la	O	DET
telefonía	O	NOUN
local	O	ADJ
vía	O	NOUN
radio	O	NOUN
que	O	SCONJ
permite	O	VERB
dar	O	VERB
telefonía	O	NOUN
fija	O	NOUN
hasta	O	ADP
el	O	DET
domicilio	O	ADJ
de	O	ADP
los	O	DET
clientes	O	NOUN
con	O	ADP
tecnologías	O	NOUN
móviles	O	NOUN
,	O	PUNCT
puede	O	AUX
incrementarse	O	_
incrementar	O	VERB
se	O	PRON
por	O	ADP
la	O	DET
llegada	B-METAPHOR	NOUN
de	O	ADP
nuevas	O	ADJ
tecnologías	O	NOUN
y	O	CCONJ
que	O	SCONJ
probablemente	O	ADV
la	O	DET
evolución	O	NOUN
del	O	_
UMTS	O	PROPN
permitirá	O	VERB
a	O	ADP
los	O	DET
cuatro	O	NUM
operadores	O	NOUN
que	O	SCONJ
tienen	O	VERB
estas	O	DET
licencias	O	NOUN
dar	O	VERB
telefonía	O	NOUN
local	O	ADJ
vía	O	NOUN
radio	O	NOUN
.	O	PUNCT
Especialistas	O	NOUN
de	O	ADP
las	O	DET
Fuerzas	O	NOUN
Armadas	O	NOUN
egipcias	O	NOUN
afirman	O	VERB
que	O	SCONJ
hasta	O	ADP
finales	O	NOUN
de	O	ADP
1999	O	NOUN
han	O	AUX
eliminado	O	ADJ
más	O	ADV
de	O	ADP
dos	O	NUM
millones	O	NOUN
de	O	ADP
minas	O	NOUN
.	O	PUNCT
Un	O	DET
bigotudo	O	ADJ
sin	O	ADP
bigote	O	NOUN
es	O	AUX
como	O	SCONJ
un	O	DET
ministro	O	NOUN
o	O	CCONJ
un	O	DET
futbolista	O	NOUN
que	O	SCONJ
ha	O	AUX
dicho	O	ADJ
adiós	O	NOUN
a	O	ADP
la	O	DET
cartera	O	NOUN
o	O	CCONJ
al	O	_
balón	O	NOUN
.	O	PUNCT
-	O	PUNCT
-	O	PUNCT
Si	O	SCONJ
me	O	PRON
hubiera	O	VERB
dejado	O	ADJ
a	O	ADP
mí	O	PRON
,	O	PUNCT
jefe	O	NOUN
,	O	PUNCT
le	O	PRON
habría	O	AUX
salido	O	ADJ
todo	O	PRON
mucho	O	ADV
más	O	ADV
barato	O	ADJ
.	O	PUNCT
En	O	ADP
el	O	DET
año	O	NOUN
2007	O	NOUN
sacan	O	VERB
su	O	DET
segundo	O	ADJ
disco	O	NOUN
en	O	ADP
vivo	O	ADJ
el	O	DET
cual	O	PRON
obtiene	O	VERB
mucho	O	ADV
éxito	O	NOUN
,	O	PUNCT
incluso	O	ADV
un	O	DET
disco	O	NOUN
Doble	O	ADJ
Platino	O	NOUN
tras	O	ADP
vender	O	VERB
2.000.000	O	NUM
copias	O	NOUN
en	O	ADP
Estados	O	NOUN
Unidos	O	PROPN
.	O	PUNCT
De	O	ADP
la	O	DET
Torre	O	PROPN
considera	O	VERB
que	O	SCONJ
la	O	DET
medalla	O	NOUN
de	O	ADP
oro	O	NOUN
en	O	ADP
Sydney	O	PROPN
estará	O	AUX
situada	O	ADJ
a	O	ADP
2,38	O	NUM
metros	O	NOUN
del	O	_
suelo	O	NOUN
,	O	PUNCT
'	O	PUNCT
y	O	CCONJ
Javier	O	PROPN
está	O	AUX
capacitado	O	ADJ
para	O	ADP
saltar	O	VERB
esa	O	DET
altura	O	NOUN
'	O	PUNCT
,	O	PUNCT
dijo	O	VERB
.	O	PUNCT
Germán	O	PROPN
de	O	ADP
Granda	O	PROPN
es	O	AUX
un	O	DET
investigador	O	NOUN
de	O	ADP
gran	O	ADJ
solvencia	O	NOUN
,	O	PUNCT
el	O	DET
primero	O	ADV
entre	O	ADP
